source_type,source_dataset,dataset_version,pre_body_id,pre_instance,pre_cell_type,post_body_id,post_instance,post_cell_type,synapse_count,reference,verification_status,notes
CONNECTOME_DERIVED,MaleCNS,male-cns:v1.0,20976,LC4_L,LC4,10010,DNp01(GF)_L,DNp01,57,https://neuprint.janelia.org/api/custom/custom,DIRECT_CONNECTOME,Direct ConnectsTo edge returned by neuPrint
CONNECTOME_DERIVED,MaleCNS,male-cns:v1.0,35262,LC4_L,LC4,10010,DNp01(GF)_L,DNp01,56,https://neuprint.janelia.org/api/custom/custom,DIRECT_CONNECTOME,Direct ConnectsTo edge returned by neuPrint
CONNECTOME_DERIVED,MaleCNS,male-cns:v1.0,517752,LC4_L,LC4,10010,DNp01(GF)_L,DNp01,55,https://neuprint.janelia.org/api/custom/custom,DIRECT_CONNECTOME,Direct ConnectsTo edge returned by neuPrint
CONNECTOME_DERIVED,MaleCNS,male-cns:v1.0,81112,LC4_L,LC4,10010,DNp01(GF)_L,DNp01,55,https://neuprint.janelia.org/api/custom/custom,DIRECT_CONNECTOME,Direct ConnectsTo edge returned by neuPrint
CONNECTOME_DERIVED,MaleCNS,male-cns:v1.0,20572,LC4_L,LC4,10010,DNp01(GF)_L,DNp01,55,https://neuprint.janelia.org/api/custom/custom,DIRECT_CONNECTOME,Direct ConnectsTo edge returned by neuPrint
CONNECTOME_DERIVED,MaleCNS,male-cns:v1.0,14888,LC4_L,LC4,10010,DNp01(GF)_L,DNp01,55,https://neuprint.janelia.org/api/custom/custom,DIRECT_CONNECTOME,Direct ConnectsTo edge returned by neuPrint
CONNECTOME_DERIVED,MaleCNS,male-cns:v1.0,515900,LC4_L,LC4,10010,DNp01(GF)_L,DNp01,54,https://neuprint.janelia.org/api/custom/custom,DIRECT_CONNECTOME,Direct ConnectsTo edge returned by neuPrint
CONNECTOME_DERIVED,MaleCNS,male-cns:v1.0,511914,LC4_L,LC4,10010,DNp01(GF)_L,DNp01,54,https://neuprint.janelia.org/api/custom/custom,DIRECT_CONNECTOME,Direct ConnectsTo edge returned by neuPrint
CONNECTOME_DERIVED,MaleCNS,male-cns:v1.0,23202,LC4_L,LC4,10010,DNp01(GF)_L,DNp01,54,https://neuprint.janelia.org/api/custom/custom,DIRECT_CONNECTOME,Direct ConnectsTo edge returned by neuPrint
CONNECTOME_DERIVED,MaleCNS,male-cns:v1.0,512705,LC4_L,LC4,10010,DNp01(GF)_L,DNp01,53,https://neuprint.janelia.org/api/custom/custom,DIRECT_CONNECTOME,Direct ConnectsTo edge returned by neuPrint
CONNECTOME_DERIVED,MaleCNS,male-cns:v1.0,77614,LC4_L,LC4,10010,DNp01(GF)_L,DNp01,52,https://neuprint.janelia.org/api/custom/custom,DIRECT_CONNECTOME,Direct ConnectsTo edge returned by neuPrint
CONNECTOME_DERIVED,MaleCNS,male-cns:v1.0,23226,LC4_L,LC4,10010,DNp01(GF)_L,DNp01,52,https://neuprint.janelia.org/api/custom/custom,DIRECT_CONNECTOME,Direct ConnectsTo edge returned by neuPrint
CONNECTOME_DERIVED,MaleCNS,male-cns:v1.0,22922,LC4_L,LC4,10010,DNp01(GF)_L,DNp01,52,https://neuprint.janelia.org/api/custom/custom,DIRECT_CONNECTOME,Direct ConnectsTo edge returned by neuPrint
CONNECTOME_DERIVED,MaleCNS,male-cns:v1.0,18432,LC4_L,LC4,10010,DNp01(GF)_L,DNp01,52,https://neuprint.janelia.org/api/custom/custom,DIRECT_CONNECTOME,Direct ConnectsTo edge returned by neuPrint
